Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-04-21,4133.52001953125,4131.771254817955,3877.7040082001326,4134.683361755833,,4048.0528749246405
2023-04-24,4137.0400390625,4130.675713527456,3878.065763337432,4133.8092699248855,,4047.516915596591
2023-04-25,4071.6298828125,4131.210636283265,3873.646814206202,4135.058330292617,,4046.6385935940284
2023-04-26,4055.989990234375,4131.882457266326,3865.871382812763,4135.67075675433,,4044.474865611139
2023-04-27,4135.35009765625,4131.16316015148,3861.1523454228486,4136.42430484307,,4042.913270139133
2023-04-28,4169.47998046875,4131.351596439688,3855.689130639208,4138.531455916959,,4041.857394331952
2023-05-01,4167.8701171875,4131.247990693347,3849.4892710694494,4138.540692835052,,4039.759318199283
2023-05-02,4119.580078125,4131.265731419821,3842.576317867399,4139.366518492036,,4037.7361892597523
2023-05-03,4090.75,4131.297598168838,3841.026862383391,4140.140667354971,,4037.488375969066
2023-05-04,4061.219970703125,4131.271829937175,3834.999438382199,4141.228077476343,,4035.833115265239
2023-05-05,4136.25,4131.283965140576,3825.9452767898406,4143.313448138888,,4033.5142300231014
2023-05-08,4138.1201171875,4131.278040389608,3820.300014024745,4143.329921013661,,4031.635991809338
2023-05-09,4119.169921875,4131.2788682707005,3814.280999059568,4144.152296308434,,4029.904054546234
2023-05-10,4137.64013671875,4131.280034490514,3807.908321840915,4144.92824072634,,4028.0388656859227
2023-05-11,4130.6201171875,4131.278962145053,3801.21228870696,4146.021150599084,,4026.1708004836987
2023-05-12,4124.080078125,4131.279618634668,3800.270103966373,4148.106162672282,,4026.5519617577743
2023-05-15,4136.27978515625,4131.279313989307,3795.234544120939,4148.122837681717,,4024.878898597321
2023-05-16,4109.89990234375,4131.2793689886985,3787.544607376529,4148.945174884913,,4022.58971708338
2023-05-17,4158.77001953125,4131.279407310508,3783.617247460472,4149.721168954819,,4021.5392745752665
2023-05-18,4198.0498046875,4131.279360312383,3779.644841820478,4150.814169441375,,4020.579457191412
