Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-04-21,17624.05078125,17618.967769418967,17706.120069555865,17622.805356189547,,17649.297731721457
2023-04-24,17743.400390625,17613.438852121835,17733.214454979192,17617.204830072133,,17654.61937905772
2023-04-25,17769.25,17608.754858678796,17721.548307797104,17610.787165392805,,17647.0301106229
2023-04-26,17813.599609375,17605.830217615192,17677.53330764229,17616.579725532913,,17633.314416930134
2023-04-27,17915.05078125,17606.16116030389,17671.325732123845,17627.220683410436,,17634.90252527939
2023-04-28,18065.0,17605.661313844026,17656.47139065109,17628.2158871234,,17630.11619720617
2023-05-01,,17605.13951056979,17647.723752116606,17629.010696728998,,17627.291319805132
2023-05-02,18147.650390625,17604.704541587012,17609.321999509542,17623.814536883776,,17612.613692660107
2023-05-03,18089.849609375,17604.496822550464,17629.879084319342,17635.329037330866,,17623.234981400223
2023-05-04,18255.80078125,17604.513519261956,17613.40274852367,17644.406616132746,,17620.774294639457
2023-05-05,18069.0,17604.46708448168,17566.408567831346,17647.588767008638,,17606.154806440554
2023-05-08,18264.400390625,17604.417525475717,17559.124828254884,17646.945658397148,,17603.496004042583
2023-05-09,18265.94921875,17604.37894855086,17545.135603678325,17643.81364332027,,17597.776065183152
2023-05-10,18315.099609375,17604.36411136437,17539.197676360356,17653.847382765278,,17599.136390163334
2023-05-11,18297.0,17604.36464421047,17505.518073200965,17664.758204797607,,17591.546974069683
2023-05-12,18314.80078125,17604.36025158272,17532.642315633577,17666.190340385336,,17601.064302533876
2023-05-15,18398.849609375,17604.355581410946,17524.476360237328,17667.379842412953,,17598.73726135374
2023-05-16,18286.5,17604.35226302586,17487.401276768695,17662.498410448185,,17584.750650080914
2023-05-17,18181.75,17604.35119634378,17491.480452257223,17674.350871944862,,17590.06084018195
2023-05-18,18129.94921875,17604.35116897045,17490.105649178848,17683.504269490862,,17592.653695880053
2023-05-19,18203.400390625,17604.350748468016,17497.817504405335,17686.72338583987,,17596.297212904406
2023-05-22,18314.400390625,17604.350314343843,17478.58717197118,17686.165615384656,,17589.70103389989
2023-05-23,18348.0,17604.350035076368,17520.709124610898,17683.060824949418,,17602.706661545562
2023-05-24,18285.400390625,17604.349957740153,17527.82799690435,17693.175062759197,,17608.451005801235
2023-05-25,18321.150390625,17604.349949113595,17506.058413212922,17704.094137954056,,17604.834166760193
2023-05-26,18499.349609375,17604.34990867973,17525.197478623213,17705.582612891903,,17611.710000064948
2023-05-29,18598.650390625,17604.349868937676,17538.376146134568,17706.781048442328,,17616.502354504857
2023-05-30,18633.849609375,17604.349845821747,17559.884930354812,17701.954837738896,,17622.063204638485
2023-05-31,18534.400390625,17604.349840144987,17553.460555435373,17713.81577813633,,17623.875391238897
2023-06-01,18487.75,17604.3498388417,17607.1834407937,17723.022551024333,,17644.851943553243
2023-06-02,18534.099609375,17604.3498349607,17624.50880266959,17726.248164318462,,17651.702267316246
2023-06-05,18593.849609375,17604.349831377036,17611.390219098987,17725.74348007741,,17647.161176851147
2023-06-06,18599.0,17604.3498294885,17637.495252491477,17722.645028026694,,17654.83003666889
2023-06-07,18726.400390625,17604.3498290639,17655.859272678048,17732.811975436925,,17664.340359059624
2023-06-08,18634.55078125,17604.349828900253,17680.712895768953,17743.737173706886,,17676.26663279203
2023-06-09,18563.400390625,17604.349828530027,17675.76958847753,17745.27786309447,,17675.132426700675
