Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-11-17,19731.80078125,19767.78901081192,19284.335198972352,19768.08571044555
2023-11-20,19694.0,19771.735105646585,19307.104158679584,19771.14048248324
2023-11-21,19783.400390625,19783.13601643149,19312.20666735482,19774.40034034964
2023-11-22,19811.849609375,19794.328287256947,19305.096752511035,19792.371611991028
2023-11-23,19802.0,19800.775072684875,19319.85422063633,19804.30974296936
2023-11-24,19794.69921875,19801.045401817883,19324.9553175116,19806.753823393232
2023-11-27,,19801.60003820217,19333.086995993017,19807.16060647284
2023-11-28,19889.69921875,19802.73182964957,19316.835862364496,19804.097654972487
2023-11-29,20096.599609375,19803.735975255364,19337.69602801468,19812.7282839277
2023-11-30,20133.150390625,19804.20119688364,19340.340754583463,19820.431950540667
2023-12-01,20267.900390625,19804.232592093937,19330.23367250501,19821.334980478103
2023-12-04,20686.80078125,19804.300603635056,19341.48142724076,19823.11557460952
2023-12-05,20855.099609375,19804.41062083959,19342.60404180824,19818.0768556749
2023-12-06,20937.69921875,19804.497027299647,19346.34841516719,19827.57671319487
2023-12-07,20901.150390625,19804.530860035244,19325.376045126344,19833.464971609024
2023-12-08,20969.400390625,19804.53464102819,19341.269232236817,19835.81491273097
2023-12-11,20997.099609375,19804.542369818715,19338.80069389412,19836.20330619709
2023-12-12,20906.400390625,19804.552776204226,19323.542419922065,19832.57427506766
2023-12-13,20926.349609375,19804.560007405897,19329.71568418837,19840.648631533764
2023-12-14,21182.69921875,19804.56250058884,19325.95856842145,19847.953808146885
2023-12-15,21456.650390625,19804.56295296398,19325.13649087617,19848.92575650538
2023-12-18,21418.650390625,19804.56378492765,19300.02690518848,19850.75794221463
2023-12-19,21453.099609375,19804.56474355806,19312.322504134,19845.752494177825
2023-12-20,21150.150390625,19804.56533720528,19306.897935274264,19855.26344053392
2023-12-21,21255.05078125,19804.56552488768,19289.41593500682,19861.19708328904
2023-12-22,21349.400390625,19804.565577583628,19294.1748663246,19863.60446840755
2023-12-26,21441.349609375,19804.565663398786,19289.87408089188,19864.071457768547
2023-12-27,21654.75,19804.56574965909,19289.422654530936,19860.496877780173
2023-12-28,21778.69921875,19804.565797765623,19265.62270847878,19868.64640809308
2023-12-29,21731.400390625,19804.56581233976,19280.171687515285,19876.00661166828
