Date,Actual,LSTM_Forecast
2023-11-17,19731.80078125,
2023-11-20,19694.0,
2023-11-21,19783.400390625,
2023-11-22,19811.849609375,
2023-11-23,19802.0,
2023-11-24,19794.69921875,
2023-11-27,,
2023-11-28,19889.69921875,
2023-11-29,20096.599609375,
2023-11-30,20133.150390625,
2023-12-01,20267.900390625,
2023-12-04,20686.80078125,
2023-12-05,20855.099609375,
2023-12-06,20937.69921875,
2023-12-07,20901.150390625,
2023-12-08,20969.400390625,
2023-12-11,20997.099609375,
2023-12-12,20906.400390625,
2023-12-13,20926.349609375,
2023-12-14,21182.69921875,
2023-12-15,21456.650390625,
2023-12-18,21418.650390625,
2023-12-19,21453.099609375,
2023-12-20,21150.150390625,
2023-12-21,21255.05078125,
2023-12-22,21349.400390625,
2023-12-26,21441.349609375,
2023-12-27,21654.75,
2023-12-28,21778.69921875,
2023-12-29,21731.400390625,
