Date,Actual,SARIMA_Forecast
2023-04-21,17624.05078125,17622.805356189547
2023-04-24,17743.400390625,17617.204830072133
2023-04-25,17769.25,17610.787165392805
2023-04-26,17813.599609375,17616.579725532913
2023-04-27,17915.05078125,17627.220683410436
2023-04-28,18065.0,17628.2158871234
2023-05-01,,17629.010696728998
2023-05-02,18147.650390625,17623.814536883776
2023-05-03,18089.849609375,17635.329037330866
2023-05-04,18255.80078125,17644.406616132746
2023-05-05,18069.0,17647.588767008638
2023-05-08,18264.400390625,17646.945658397148
2023-05-09,18265.94921875,17643.81364332027
2023-05-10,18315.099609375,17653.847382765278
2023-05-11,18297.0,17664.758204797607
2023-05-12,18314.80078125,17666.190340385336
2023-05-15,18398.849609375,17667.379842412953
2023-05-16,18286.5,17662.498410448185
2023-05-17,18181.75,17674.350871944862
2023-05-18,18129.94921875,17683.504269490862
2023-05-19,18203.400390625,17686.72338583987
2023-05-22,18314.400390625,17686.165615384656
2023-05-23,18348.0,17683.060824949418
2023-05-24,18285.400390625,17693.175062759197
2023-05-25,18321.150390625,17704.094137954056
2023-05-26,18499.349609375,17705.582612891903
2023-05-29,18598.650390625,17706.781048442328
2023-05-30,18633.849609375,17701.954837738896
2023-05-31,18534.400390625,17713.81577813633
2023-06-01,18487.75,17723.022551024333
2023-06-02,18534.099609375,17726.248164318462
2023-06-05,18593.849609375,17725.74348007741
2023-06-06,18599.0,17722.645028026694
2023-06-07,18726.400390625,17732.811975436925
2023-06-08,18634.55078125,17743.737173706886
2023-06-09,18563.400390625,17745.27786309447
2023-06-12,18601.5,17746.482330370178
2023-06-13,18716.150390625,17741.70798545966
2023-06-14,18755.900390625,17753.57486012021
2023-06-15,18688.099609375,17762.83314790114
2023-06-16,18826.0,17766.064589420042
2023-06-19,18755.44921875,17765.611081207648
2023-06-20,18816.69921875,17762.518363723808
2023-06-21,18856.849609375,17772.73615003001
2023-06-22,18771.25,17783.666989816626
2023-06-23,18665.5,17785.258182489026
2023-06-26,18691.19921875,17786.46819996083
2023-06-27,18817.400390625,17781.744025888132
2023-06-28,18972.099609375,17793.61636033143
2023-06-29,,17802.924488721168
2023-06-30,19189.05078125,17806.16130049271
2023-07-03,19322.55078125,17805.757304951956
2023-07-04,19389.0,17802.66986919657
2023-07-05,19398.5,17812.93684244932
2023-07-06,19497.30078125,17823.872876364043
2023-07-07,19331.80078125,17825.512932453406
2023-07-10,19355.900390625,17826.72805737555
2023-07-11,19439.400390625,17822.052425380905
2023-07-12,19384.30078125,17833.92978150592
2023-07-13,19413.75,17843.28613280455
2023-07-14,19564.5,17846.527881390015
2023-07-17,19711.44921875,17846.171791744287
2023-07-18,19749.25,17843.089208828507
2023-07-19,19833.150390625,17853.40377310243
2023-07-20,19979.150390625,17864.34457676737
2023-07-21,19745.0,17866.03191112925
2023-07-24,19672.349609375,17867.251723589146
2023-07-25,19680.599609375,17862.623059228947
2023-07-26,19778.30078125,17874.505021548208
2023-07-27,19659.900390625,17883.908031939158
2023-07-28,19646.05078125,17887.154306236407
2023-07-31,19753.80078125,17886.844569222365
2023-08-01,19733.55078125,17883.766432389137
