Date,Actual,SARIMA_Forecast
2023-11-17,19731.80078125,19768.08571044555
2023-11-20,19694.0,19771.14048248324
2023-11-21,19783.400390625,19774.40034034964
2023-11-22,19811.849609375,19792.371611991028
2023-11-23,19802.0,19804.30974296936
2023-11-24,19794.69921875,19806.753823393232
2023-11-27,,19807.16060647284
2023-11-28,19889.69921875,19804.097654972487
2023-11-29,20096.599609375,19812.7282839277
2023-11-30,20133.150390625,19820.431950540667
2023-12-01,20267.900390625,19821.334980478103
2023-12-04,20686.80078125,19823.115574609517
2023-12-05,20855.099609375,19818.0768556749
2023-12-06,20937.69921875,19827.57671319487
2023-12-07,20901.150390625,19833.464971609024
2023-12-08,20969.400390625,19835.814912730966
2023-12-11,20997.099609375,19836.20330619709
2023-12-12,20906.400390625,19832.57427506766
2023-12-13,20926.349609375,19840.648631533764
2023-12-14,21182.69921875,19847.953808146885
2023-12-15,21456.650390625,19848.92575650538
2023-12-18,21418.650390625,19850.75794221463
2023-12-19,21453.099609375,19845.752494177825
2023-12-20,21150.150390625,19855.263440533916
2023-12-21,21255.05078125,19861.19708328904
2023-12-22,21349.400390625,19863.60446840755
2023-12-26,21441.349609375,19864.071457768547
2023-12-27,21654.75,19860.496877780173
2023-12-28,21778.69921875,19868.64640809308
2023-12-29,21731.400390625,19876.006611668276
